Reviews,Comments
4.5 of 5 bubbles,"When with my daughters and nefew. 
Great food!
Great service!
Great prices!
All home cooked meals.
Friendly waiter.
Small and quaint atmosphere."
4.5 of 5 bubbles,"We found Bob's right next door to our hotel so it was convenient and we didn't have to drive any more that day.  The place was fairly busy but we were seated right away.  I opted for a glass of water, my grandson took on...More"
4 of 5 bubbles,Ate a late lunch. Waiter acted like it was his first day. Very expensive for the quality of food. Donâ€™t order chips because after the first basket you have to pay. The homemade lemonade was great!! I had strawberry my brother had cucumber. Tortilla soup...More
4 of 5 bubbles,"I just wanted to give you some feedback regarding my last visit on Thurs 12/26. It was my 30th birthday and I went to you guys because you were my favorite restaurant. 
However I was very disappointed with the service that night and will probably...More"
4 of 5 bubbles,"Catfish Charlieâ€™s has survived for many years because their food is fresh and tasty, eating their hush puppies is like eating peanuts , itâ€™s hard to stop! Friendly servers, clean place , very reasonable prices , good selection ."
4.5 of 5 bubbles,The restaurant is a nice place with good food. The servings of any food are huge but they are tasty. The service is quick and restaurant is clean. The place is worth the money.
4 of 5 bubbles,
4.5 of 5 bubbles,"My husband and I were in town for the night to run the Katy half marathon the next morning. Not familiar with the area and wanting to carb load, we looked into nearby Italian restaurants. We were pleasantly surprised to find this gem. We had...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Lovely food, got pushed a special which turned out to be $30 more than my original order. So that was a little annoying, $55 for a tiny piece of salmon, a shrimp, one scallops and some fingerling potatoes not worth it. Everything else was tasty...More"
4.5 of 5 bubbles,"Four of us for dinner.  All of us ordered the seafood ravioli which were like little ethereal pillows.  So good.  Also had seared foie with toast points that was excellent.  Crab cakes are huge, but a bit bland for me.  Someone else had duck with...More"
4.5 of 5 bubbles,In the area on holidays and visited today for dinner. The food was fantastic and the staff were lovely and very patient in explaining how it worked. Would definitely recommend
4.5 of 5 bubbles,"This is our local go to restaurant as it is always good and served hot! 
 Most restaurants pre-prepare their food and it is not as good as the Italian Cafe.
We have been going there for about 10 years and it has never disappointed us....More"
4.5 of 5 bubbles,"This place is wonderful. We tried it for the first time late this summer and have been there a couple of times now. Friendly staff, great atmosphere (feels like you left the Pacific Northwest for a bit!) and the food is excellent. We went specifically...More"
4.5 of 5 bubbles,"I really don't enjoy Italian places since I a gluten free, but there are very accommodating.  There is gluten free penne pasta with any of their pasta meals, gluten free pizza crust and knowledgable employees.  I settled on soup and salad, but the rest of...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"This place is like the Tardis of restaurants.  You walk in and it's a nice little bar, but then continue on and there are 3 dining rooms that altogether must hold 200 people.  They have good tapas (great grilled octopus), a full menu (with about...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,Their plates are huge and it was way too much to eat for a dinner. The food was rather bland without a distinctive taste.
4.5 of 5 bubbles,
4.5 of 5 bubbles,
5 of 5 bubbles,"This is one of the restaurants high on our list when we moved to the area in 2018, but hadnâ€™t gotten there until tonight.  I read a recent pretty favorable review in the Times Union so the multiple changes in ownership and chef didnâ€™t phase...More"
4.5 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,have been to PJ's many times in person and through delivery. Food is always fresh and tasty and very flavorful. Have had all the breakfast items as well as their cheese steak which is great for lunch. Would highly recommend!
4 of 5 bubbles,"We were recently at the Rainbow Diner for dinner.  We have been here many times before.  The food this week was exceptionally good.  The food was delicious, and served nice and hot.  I ordered a seafood dish, which was cooked perfectly.  The bread pudding was...More"
4 of 5 bubbles,"Cool place, lots of craft beers on tap, no full bat. Limited food but it was good. Staff was awesome,  cozy funky little place."
4.5 of 5 bubbles,"Food was pretty good but itâ€™s unbelievably loud. Felt like a cafeteria with people screaming over one another. Made it hard to have a conversation, which kind of ruined the meal. Acoustics could be fixed. ðŸ˜’"
4.5 of 5 bubbles,"This was my 3rd time here for brunch and I will always recommend. Amazing food, great customer service and I had the pleasure of Jacob M being our server he made our dining experience outstanding. Highly recommend"
4.5 of 5 bubbles,"This place has great food. We got our food quickly, staff was friendly, atmosphere casual, and we did not feel rushed at all. Plus the water tastes good."
4 of 5 bubbles,"On a long weekend we decided to go to this restaurant to have a relaxing and quiet lunch. The food was good, we had 3 different appetizers the service was a little overwhelmed overall this is a very goood restaurant"
4 of 5 bubbles,"The fried oysters are legit delicious. Son and I ate here after a wrestling tournament. He finished his entire basket, and mine. The fried shrimp and catfish are excellent too. 
Crowded parking lot, line for counter service kept a steady flow of traffic. Food was...More"
4.5 of 5 bubbles,"Good pizza great wings and fried calamari 
They use semolina and it always burns on the bottom of the pizza but otherwise a pretty good pie"
4.5 of 5 bubbles,This is one of my favorite restaurants in KIRKLAND. great view over Carillon marina and Lake Washington. Always had excellent service. Love their French onion soup.
4 of 5 bubbles,
4 of 5 bubbles,"Wonderful restaurant, pleasant. The menu at DANIEL is a French culinary heritage. The food  is amazing."
4.5 of 5 bubbles,"The pizza was okay, but nothing special. All we had heard was that we HAD to try this place because the pizza was amazing. I'm still not convinced. I ordered a large pizza for takeout and it cost almost $27. The dough was bordering on...More"
4 of 5 bubbles,We go to Lobster Shop every year for Valentines and it never disappoints. Make sure you book in advance! The taste menu is perfect and the service is even better.
4.5 of 5 bubbles,They were not prepared for New Yearâ€™s Eve rush. Had reservations for 7 waited 30 minutes before asking what the hold up was. After I complained they sat us. Took 35 minutes before any food arrived. They brought appetizer and main course at same time....More
4 of 5 bubbles,
4.5 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,Novellis is a really nice classy restaurant. Once I stepped foot into it the owners were very sweet and greeted us very well. We sat at a nice table by the fireplace and our waiter was great! The food was the best part. I truly...More
4.5 of 5 bubbles,"Small little building with some shared tables and a very friendly staff.   Food is amazing and portions are huge.   The Frittata is huge and they have a 6 pound challenge.  Great food, cheap eats.  We try to go there every time we are in Syracuse."
4.5 of 5 bubbles,"A amazing brewery for friends gathering. The beer is nice, the indoor and outdoor seat setting are very cool and perfect for friends gathering"
4.5 of 5 bubbles,"There are so many choices for Mexican food on the border, but we decided to try something new . . .

We are VERY glad to have tried Andale.  There was live music that night with a 30 minute wait for a table, but we...More"
4 of 5 bubbles,
4.5 of 5 bubbles,"Our Covenant Group gets together once a month or an Outing and/or Dinner. Yesterday we went to the 'Escape Room' located on FM 2920 in Spring then for Dinner at ""Q-Shi BBQ / Bistro"". We had reservations at Q-Shi and elected to sit in the...More"
4.5 of 5 bubbles,"I enjoyed an amazing business lunch with lobster bisque, crusted sea bass and pecan bread pudding. The food was fantastic and service above expectations!"
4.5 of 5 bubbles,"We ate here twice while staying at the Holiday Inn. This restauarnt does not take bookings but does operate a wait list which we used both times. The first time it worked well, but the second time the app failed to deliver an acknowledgement but...More"
4.5 of 5 bubbles,This is a fabulous lunch spot and the sandwiches so awesome we came here 2 days in a row while visiting from Michigan. I talked my daughters ( who said they donâ€™t like reubens) to taste mine and today all three of us are eating...More
4.5 of 5 bubbles,The place reminded me of an Irish pub I visited in Dublin.  I had the reuben which was OUT OF THIS WORLD!  It was loaded with meat and the rye was perfect.  The only thing lacking for me was the dill pickle.
4 of 5 bubbles,"Would give 4.5 if I could! We came here on a recent Sunday for dim sum. We parked down the street not knowing there was a small parking lot next to the restaurant, but the restaurant lot was full as we walked by. We arrived...More"
4 of 5 bubbles,Absolutely love their fries. Great seasoning and cooked just right. Good salads and burgers. Worth a visit.
4 of 5 bubbles,This is one of our go to places in Kent.  The food is consistently good and the service is great.  My meatloaf had a nice flavor and the appetizers were good.
3.5 of 5 bubbles,"This is like many other Capital Grille a winner. Great food, even better service. They really care about special wishes. Also I like the wine pad with all the information about your wine"
4.5 of 5 bubbles,"Colby Ave. has a lot of restaurants including the Irishmen. My best advice is to consider it a good place for a beer, but skip the food and keep walking to one of the many restaurants on Colby. My wife and I met another couple...More"
4 of 5 bubbles,"Signed up for the Valentines Day special menu dinner.   Had been in previous years and it ""was"" wonderful.     In the last few months have noticed during several dinners and lunches it was having problems.  Quality of food unpredictable and never enough staff.........very slow service.

Well...More"
4.5 of 5 bubbles,"Experienced terrible service at this place. Came on a Sunday for lunch with my family and after we were taken to our table, no one ever came to service. All the waiters were gathered together watching a soccer game on a cell phone by a...More"
4.5 of 5 bubbles,8 of us went to try Dee Lincoln Primr. Was very good steak but not better than all. had  char broiler oysters for appetizer. It was terrible. Very fishy. Strong odor. Great service. Very expensive. Also should include something to do with steak.
4 of 5 bubbles,The food here is really good and the portions are great. There are plenty of TVs to watch lots of sports at the same time. It can get loud but that's what a sports bar is right? The best thing about this place is that...More
4 of 5 bubbles,This place is a must if your a taco fan.  I think itâ€™s the best place to satisfy a Mexican craving.  Itâ€™s worth the wait as it will please your tastebuds and you will be back for more. Price wise I think itâ€™s great value...More
4.5 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,"What a great place!  The decor was classy and comfortable, and the vibe was intimate. Our waiter, Rick, was extremely friendly and knowledgeable about the menu and made excellent suggestions.  He also paced the meal well and was attentive without being intrusive at all.  And...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,We enjoy Texas Roadhouse and this location provided excellent service and perfectly cooked steaks.  Great job!
4 of 5 bubbles,"Was take to this local asian restaurant.  It is a perfect small ""hole"" in the wall location.  I had the Mongolian Beef and I was amazing.  Only con was they gave me spice level options of 0-5.  I said five three times, while waitress corrected...More"
4 of 5 bubbles,"Tomato bisque was amazing.  Good service, nice location overlooking boardwalk and beach.  Good hamburger, not outrageously priced.  I would definitely be back."
4.5 of 5 bubbles,"Wait staff was marvelous!---However dinner left a lot to be desired-----food was apparently just piled on plate----dinner was $ but had none of the extras, salad rolls.
Cannot say this is a place I would return to"
4.5 of 5 bubbles,Tremendous amount of drink and beer selections. The food is a smaller menu. We ordered pork and beef tacos and they were delicious! The smoked pepper had distinct smoky flavor with a slow spice hotness. Somewhat of a roadhouse scene.
4.5 of 5 bubbles,"We have eaten at Pearl a handful of times but last night it really was outstanding....the mixed cocktails to start. The freshest oyster we've had in a long long time. Small plates we had the delicious octopus, mushrooms and shrimp. I just for the Filet...More"
4 of 5 bubbles,We were out for a drive and we were in Poughkeepsie so we decided on River Station. We usually go in warm weather so we can sit outside but we love their chowders so we figured weâ€™d give it a winter try. Turned out to...More
3.5 of 5 bubbles,Around $40 for the whole pie but you can do 50:50 on the topping for to get 2 different pies. Or order by the slice if you prefer. Pizza are huge 20 inches. Decent drinks choice & nice touch with the cucumber water
4.5 of 5 bubbles,"We met our daughter and her boyfriend for brunch here. Reserved a window seat and had a beautiful view of the water on a rare sunny day ! 
Service was great and so was the food!"
4.5 of 5 bubbles,"Good Pizza, good Burgers, good prices! 
We had a stay next to Mike's Pizza and it was perfect to have this place next to us."
4 of 5 bubbles,"Upon reading this review, please donâ€™t tell anybody about this secret Ocean City gem.  Itâ€™s the CHEERs of breakfast & lunch in OC.  From Eggs to Salads, Scrapple to Turkey Specials, Creamed Chipped Beef to Cheesesteaks, itâ€™s always quality food served with personality.  See you...More"
4.5 of 5 bubbles,"This restaurant burned on July 12, 2018, and it is still boarded up and has a security fence all the way around it.  It has been closed for 8 months - I cannot imagine any business being closed for that long and then start back...More"
4.5 of 5 bubbles,"Nothing made my birthday more special than spending it here, with some of the people I love and cherish the most..I love this restaurant!..They have never disappointed me..The food was superb and they have some of the best customer service around.."
